id,user_id,movie_id,rating,m1_hat,m2_hat,m3_hat,m4_hat,m5_hat,m6_hat,m7_hat,m8_hat,m9_hat
2,1,3,4,4.23684210526,3.6,4.28947368421,4.07255074754,3.59491916859,4.11202443175,3.90825938981,3.58983833718,3.93457517929
6,1,9,1,4.6,4.83333333333,4.4,4.34491916859,4.51991916859,4.19491916859,4.08983833718,4.20650500385,3.98983833718
10,1,16,3,3.96551724138,4.08333333333,3.89285714286,3.86905709963,3.95741916859,3.81456202573,3.77259695787,3.83150500385,3.73626690861
32,1,65,3,4.08333333333,3.78947368421,4.15384615385,3.95741916859,3.73702443175,4.01030378398,3.83150500385,3.68457517929,3.86676141411
41,1,77,2,3.80952380952,4.02325581395,3.78048780488,3.75206202573,3.91236102906,3.73028502225,3.69460024194,3.80146624416,3.68008223962
48,1,91,5,3.58823529412,3.13333333333,3.71428571429,3.58609563918,3.24491916859,3.68063345431,3.58395598424,3.35650500385,3.64698119433
52,1,96,3,3.54545454545,4.14285714286,3.66666666667,3.55401007768,4.00206202573,3.64491916859,3.56256560991,3.86126690861,3.62317167052
60,2,9,2,4.44444444444,4.6,4.4,4.22825250192,4.34491916859,4.19491916859,4.0120605594,4.08983833718,3.98983833718
68,2,21,5,3.08333333333,2.57575757576,3.0,3.20741916859,2.82673735041,3.14491916859,3.33150500385,3.07771712506,3.28983833718
74,2,38,2,3.6,3.66666666667,3.61290322581,3.59491916859,3.64491916859,3.60459658795,3.58983833718,3.62317167052,3.59628995009
80,2,51,5,4.05882352941,3.54545454545,4.125,3.93903681565,3.55401007768,3.98866916859,3.81925010189,3.56256560991,3.85233833718
88,2,67,3,3.42424242424,3.88,3.32352941176,3.46310098677,3.80491916859,3.38756622741,3.5019595493,3.72983833718,3.45160304306
91,2,76,3,3.91304347826,3.66666666667,3.91666666667,3.82970177729,3.64491916859,3.83241916859,3.74636007631,3.62317167052,3.74817167052
93,2,80,4,2.46153846154,0.823529411765,2.75,2.74107301475,1.51256622741,2.95741916859,3.02060756795,2.20160304306,3.16483833718
97,2,85,4,3.96,3.92857142857,3.86956521739,3.86491916859,3.84134774002,3.79709308163,3.76983833718,3.75412405147,3.72462094588
100,2,89,2,2.15,3.36363636364,2.13043478261,2.50741916859,3.41764644132,2.49274525555,2.86483833718,3.471656519,2.85505572849
104,2,95,4,4.16666666667,3.90909090909,4.11111111111,4.01991916859,3.82673735041,3.97825250192,3.87317167052,3.74438379173,3.84539389274
118,3,24,5,4.11111111111,3.38888888889,4.26315789474,3.97825250192,3.43658583526,4.09228758964,3.84539389274,3.48428278163,3.92141728455
121,3,29,2,3.0,3.26666666667,2.61764705882,3.14491916859,3.34491916859,2.85815446271,3.28983833718,3.42317167052,3.09866186659
125,3,36,4,4.03703703704,4.05,4.16666666667,3.92269694637,3.93241916859,4.01991916859,3.8083568557,3.81483833718,3.87317167052
130,3,45,4,4.0,3.93333333333,4.33333333333,3.89491916859,3.84491916859,4.14491916859,3.78983833718,3.75650500385,3.95650500385
137,3,55,4,3.73529411765,3.46153846154,3.88888888889,3.69638975683,3.49107301475,3.81158583526,3.65748539601,3.52060756795,3.73428278163
140,3,60,4,2.58139534884,2.19512195122,2.74285714286,2.83096568022,2.54126063201,2.95206202573,3.0805360116,2.88739931279,3.16126690861
149,3,78,3,4.16666666667,4.5,3.92857142857,4.01991916859,4.26991916859,3.84134774002,3.87317167052,4.03983833718,3.75412405147
152,3,81,4,2.375,2.28571428571,2.33333333333,2.67616916859,2.60920488288,2.64491916859,2.97733833718,2.93269548004,2.95650500385
161,4,1,4,4.25,4.42857142857,3.94117647059,4.08241916859,4.21634774002,3.85080152153,3.91483833718,4.00412405147,3.76042657248
168,4,9,3,4.61538461538,4.53846153846,4.44444444444,4.35645763013,4.29876532244,4.22825250192,4.09753064487,4.05906910641,4.0120605594
176,4,30,3,2.21428571429,1.4,2.65625,2.55563345431,1.94491916859,2.88710666859,2.89698119433,2.48983833718,3.11796333718
178,4,34,5,4.54545454545,4.4,4.64285714286,4.30401007768,4.19491916859,4.37706202573,4.06256560991,3.98983833718,4.11126690861
187,4,49,3,4.25,4.52941176471,4.14285714286,4.08241916859,4.29197799212,4.00206202573,3.91483833718,4.05454421954,3.86126690861
210,5,2,4,4.68965517241,4.82142857143,4.60869565217,4.4121605479,4.51099059716,4.35144090772,4.13466592339,4.2005526229,4.09418616327
213,5,12,4,3.73913043478,3.35714285714,3.44,3.69926699468,3.41277631145,3.47491916859,3.65940355457,3.46840976575,3.50983833718
217,5,20,3,0.0,0.0,0.0,0.894919168591,0.894919168591,0.894919168591,1.78983833718,1.78983833718,1.78983833718
220,5,24,5,4.3125,3.55,4.35714285714,4.12929416859,3.55741916859,4.16277631145,3.94608833718,3.56483833718,3.96840976575
228,5,35,5,4.39130434783,4.29411764706,4.42857142857,4.18839742946,4.11550740389,4.21634774002,3.9854905111,3.93689716071,4.00412405147
237,5,50,3,2.25,1.8,2.15625,2.58241916859,2.24491916859,2.51210666859,2.91483833718,2.68983833718,2.86796333718
256,5,95,5,4.26086956522,4.42105263158,4.13793103448,4.0905713425,4.21070864228,3.99836744445,3.92027311979,4.00036465297,3.85880385442
259,6,5,5,3.7619047619,3.73170731707,3.85714285714,3.71634774002,3.6936996564,3.78777631145,3.67079071813,3.65569199572,3.71840976575
261,6,8,4,3.27272727273,3.13636363636,3.26086956522,3.34946462314,3.24719189586,3.3405713425,3.42620197355,3.35802015536,3.42027311979
266,6,22,3,2.90322580645,2.96875,2.78571428571,3.07233852343,3.12148166859,2.98420488288,3.24145124041,3.27421333718,3.18269548004
273,6,34,4,4.47368421053,4.44444444444,4.47368421053,4.25018232649,4.22825250192,4.25018232649,4.02668044245,4.0120605594,4.02668044245
291,6,71,3,3.0,3.4,3.0,3.14491916859,3.44491916859,3.14491916859,3.28983833718,3.48983833718,3.28983833718
